Year,agri_gdp_billion_MAD,total_gdp_billion_MAD,agri_gdp_share_pct,agri_value_added_billion_USD,agri_investment_billion_MAD,agri_labor_force_millions,agri_labor_productivity_1000MAD_worker,fertilizer_use_kg_ha,tractor_density_per_1000ha,agri_credit_billion_MAD,rainfall_mm,temperature_anomaly_C,agri_subsidy_billion_MAD,agri_gdp_per_worker,agri_gdp_growth_rate,investment_intensity,tech_intensity
1990,39.378,517.365,7.611,4.135,7.879,3.983,9885.785,28.861,6.196,11.874,336.99,-0.03,0.0,9886.51770022596,,0.20008634262786326,178.822756
1991,46.895,540.115,8.682,4.924,8.747,4.116,11393.586,26.728,6.519,12.228,385.215,-0.12,0.0,11393.343051506317,19.089339224947956,0.18652308348438,174.239832
1992,50.142,566.894,8.845,5.265,7.835,3.994,12555.557,30.828,7.079,13.022,431.361,-0.207,0.0,12554.331497245868,6.923979102249711,0.15625623230026722,218.23141199999998
1993,48.407,576.444,8.398,5.083,9.12,3.935,12301.001,31.329,6.997,15.853,371.856,-0.126,0.0,12301.651842439644,-3.460173108372233,0.1884025037701159,219.209013
1994,46.666,621.686,7.506,4.9,10.302,4.076,11449.048,36.476,7.443,16.338,271.019,-0.112,0.0,11448.969578017666,-3.5965872704360913,0.22076029657566537,271.490868
1995,35.272,647.232,5.45,3.704,10.499,4.018,8778.849,34.589,7.875,17.122,196.844,-0.103,0.0,8778.496764559482,-24.416063086615523,0.2976581991381266,272.388375
1996,47.334,670.72,7.057,4.97,12.52,3.93,12045.154,39.504,8.78,19.483,333.877,-0.19,0.0,12044.274809160306,34.1970968473577,0.26450331685469214,346.84511999999995
1997,50.919,701.269,7.261,5.347,14.386,4.074,12500.013,36.001,9.563,22.44,376.323,-0.004,0.0,12498.527245949927,7.573836988211413,0.28252715096525854,344.277563
1998,61.047,726.963,8.398,6.41,12.775,3.904,15636.458,40.988,9.388,20.419,371.001,-0.048,0.0,15637.03893442623,19.89041418723856,0.20926499254672631,384.795344
1999,65.923,783.68,8.412,6.922,13.969,3.922,16810.024,42.275,9.965,23.135,444.71,-0.078,0.0,16808.516063233044,7.987288482644539,0.2118987303369082,421.270375
2000,58.313,783.291,7.445,6.123,15.96,3.921,14873.838,41.594,10.88,25.88,390.29,0.231,0.0,14871.971435858199,-11.543770762859696,0.2736954023974071,452.54272000000003
2001,54.191,812.592,6.669,5.69,18.467,3.832,14141.709,45.843,11.278,31.589,309.954,0.259,0.0,14141.70146137787,-7.068749678459351,0.3407761436400878,517.0173540000001
2002,66.006,839.114,7.866,6.931,16.696,3.897,16937.51,50.363,12.533,32.392,421.119,-0.023,0.0,16937.644341801384,21.802513332472184,0.2529467018149865,631.199479
2003,56.835,869.408,6.537,5.968,19.567,3.8,14955.148,48.818,11.645,35.985,284.661,0.273,0.0,14956.578947368422,-13.894191437142078,0.34427729392099937,568.48561
2004,68.943,901.997,7.643,7.239,22.882,3.791,18187.587,47.468,13.117,35.457,350.426,0.486,0.0,18185.96676338697,21.303774082871474,0.33189736448950585,622.6377560000001
2005,72.494,946.738,7.657,7.612,19.885,3.907,18556.555,54.14,13.929,38.513,408.781,0.541,0.0,18554.90145891989,5.150631681243922,0.27429856263966673,754.1160600000001
2006,81.702,1002.934,8.146,8.579,21.802,3.705,22050.292,54.071,13.827,45.256,412.766,0.581,0.0,22051.821862348177,12.701740833724173,0.2668478127830408,747.639717
2007,75.86,1053.534,7.201,7.965,24.628,3.583,21169.777,58.162,15.534,48.167,298.947,0.479,0.0,21172.2020653084,-7.150375755795446,0.3246506722910625,903.488508
2008,58.181,1091.607,5.33,6.109,26.195,3.867,15045.666,61.585,16.499,53.539,187.063,0.391,3.416,15045.51331781743,-23.304771948325865,0.4502328939000705,1016.090915
2009,72.255,1118.895,6.458,7.587,30.343,3.918,18443.793,59.109,18.008,56.008,222.95,0.401,3.957,18441.807044410412,24.190027672264147,0.41994325652204,1064.434872
2010,70.318,1205.333,5.834,7.383,31.406,3.679,19114.176,62.073,20.099,62.198,214.208,0.661,4.37,19113.346017939657,-2.680783336793302,0.4466281748627663,1247.605227
2011,78.317,1251.99,6.255,8.223,29.597,3.547,22077.374,72.268,20.197,67.085,368.013,0.711,4.379,22079.785734423458,11.375465741346446,0.37791284140097303,1459.596796
2012,90.358,1281.458,7.051,9.488,36.539,3.649,24761.614,71.815,20.73,75.025,428.919,0.893,4.953,24762.400657714443,15.374695149201333,0.4043803537041546,1488.72495
2013,98.381,1322.064,7.441,10.33,36.61,3.633,27082.524,67.179,22.866,81.516,430.298,0.91,5.974,27079.82383704927,8.879125257309806,0.3721246988747827,1536.115014
2014,99.121,1411.127,7.024,10.408,43.682,3.621,27370.493,83.688,25.313,78.129,351.91,0.771,5.489,27373.929853631595,0.7521777579003963,0.44069369760192095,2118.394344
2015,89.856,1459.91,6.155,9.435,41.784,3.537,25407.789,85.298,24.746,81.877,443.783,0.65,5.5,25404.580152671755,-9.347161550024719,0.4650106837606838,2110.784308
2016,82.065,1471.635,5.576,8.617,44.684,3.641,22540.649,84.8,26.302,105.094,232.721,0.834,5.952,22539.13759956056,-8.670539529914523,0.5444952172058733,2230.4096
2017,93.601,1577.033,5.935,9.828,51.325,3.619,25866.713,85.846,29.581,115.037,252.146,0.96,7.112,25863.77452334899,14.057149820264424,0.548338158780355,2539.410526
2018,91.74,1654.13,5.546,9.633,55.626,3.457,26540.407,100.045,30.398,111.806,270.909,0.942,7.514,26537.46022562916,-1.9882266215104583,0.6063440156965337,3041.16791
2019,111.232,1574.32,7.065,11.679,58.444,3.595,30941.886,102.106,33.352,115.946,373.817,0.931,7.844,30940.751043115437,21.24700239808155,0.525424338319908,3405.4393119999995
2020,113.406,1793.415,6.323,11.908,54.739,3.672,30880.672,117.362,34.442,139.386,376.349,1.102,8.905,30883.986928104576,1.9544735327963192,0.4826816923266846,4042.182004
2021,113.632,1807.502,6.287,11.931,67.264,3.522,32263.454,111.89,37.554,157.492,169.997,1.033,7.305,32263.486655309483,0.19928398850148632,0.5919459307237397,4201.917060000001
2022,110.228,1991.7,5.534,11.574,65.395,3.469,31776.81,116.739,37.117,177.956,264.266,1.06,9.316,31775.151340443932,-2.9956350323852576,0.5932703124432993,4333.001463
2023,104.017,2071.784,5.021,10.922,75.656,3.465,30018.814,118.674,41.024,181.732,221.974,1.247,10.39,30019.33621933622,-5.634684472184926,0.7273426459136488,4868.482176
